"('M0001', Decimal('1977'), Decimal('6'), Decimal('32'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('0.0'), Decimal('999.9'), Decimal('999.9'), Decimal('9999.99'), Decimal('0.00'), Decimal('9999.99'), Decimal('0.00'), Decimal('9999.99'), Decimal('0.00'), Decimal('99'), Decimal('99'), Decimal('99'), '99', Decimal('99.9'), '99', Decimal('99.9'), '99', Decimal('99.9'), Decimal('26685'), Decimal('9999999999'), Decimal('9999999999'), Decimal('2'), Decimal('2'), '1', Decimal('1'))"
"('M0001', Decimal('1977'), Decimal('7'), Decimal('32'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('0.0'), Decimal('999.9'), Decimal('999.9'), Decimal('9999.99'), Decimal('0.00'), Decimal('9999.99'), Decimal('0.00'), Decimal('9999.99'), Decimal('0.00'), Decimal('99'), Decimal('99'), Decimal('99'), '99', Decimal('99.9'), '99', Decimal('99.9'), '99', Decimal('99.9'), Decimal('1381460'), Decimal('9999999999'), Decimal('9999999999'), Decimal('2'), Decimal('0'), '1', Decimal('1'))"
"('M0001', Decimal('1977'), Decimal('8'), Decimal('32'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('0.0'), Decimal('999.9'), Decimal('999.9'), Decimal('9999.99'), Decimal('0.00'), Decimal('9999.99'), Decimal('0.00'), Decimal('9999.99'), Decimal('0.00'), Decimal('99'), Decimal('99'), Decimal('99'), '99', Decimal('99.9'), '99', Decimal('99.9'), '99', Decimal('99.9'), Decimal('1914030'), Decimal('9999999999'), Decimal('9999999999'), Decimal('2'), Decimal('0'), '1', Decimal('1'))"
"('M0001', Decimal('1977'), Decimal('9'), Decimal('32'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('0.1'), Decimal('999.9'), Decimal('999.9'), Decimal('9999.99'), Decimal('0.00'), Decimal('9999.99'), Decimal('0.00'), Decimal('9999.99'), Decimal('0.00'), Decimal('99'), Decimal('99'), Decimal('99'), '99', Decimal('99.9'), '99', Decimal('99.9'), '99', Decimal('99.9'), Decimal('2468000'), Decimal('9999999999'), Decimal('9999999999'), Decimal('2'), Decimal('0'), '1', Decimal('1'))"
"('M0001', Decimal('1977'), Decimal('10'), Decimal('32'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('0.0'), Decimal('999.9'), Decimal('999.9'), Decimal('9999.99'), Decimal('0.00'), Decimal('9999.99'), Decimal('0.00'), Decimal('9999.99'), Decimal('0.00'), Decimal('99'), Decimal('99'), Decimal('99'), '99', Decimal('99.9'), '99', Decimal('99.9'), '99', Decimal('99.9'), Decimal('2844580'), Decimal('9999999999'), Decimal('9999999999'), Decimal('2'), Decimal('0'), '1', Decimal('1'))"
"('M0001', Decimal('1977'), Decimal('11'), Decimal('32'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('0.0'), Decimal('999.9'), Decimal('999.9'), Decimal('9999.99'), Decimal('0.00'), Decimal('9999.99'), Decimal('0.00'), Decimal('9999.99'), Decimal('0.00'), Decimal('99'), Decimal('99'), Decimal('99'), '99', Decimal('99.9'), '99', Decimal('99.9'), '99', Decimal('99.9'), Decimal('3172300'), Decimal('9999999999'), Decimal('9999999999'), Decimal('2'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1977'), Decimal('12'), Decimal('32'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('99.9'), Decimal('11.0'), Decimal('999.9'), Decimal('999.9'), Decimal('9999.99'), Decimal('0.00'), Decimal('9999.99'), Decimal('0.00'), Decimal('9999.99'), Decimal('0.00'), Decimal('99'), Decimal('99'), Decimal('99'), '99', Decimal('99.9'), '99', Decimal('99.9'), '99', Decimal('99.9'), Decimal('3573450'), Decimal('9999999999'), Decimal('9999999999'), Decimal('2'), Decimal('0'), '1', Decimal('1'))"
"('M0001', Decimal('1978'), Decimal('1'), Decimal('32'), Decimal('15.6'), Decimal('7.0'), Decimal('9.6'), Decimal('13.8'), Decimal('9.4'), Decimal('7.2'), Decimal('10.2'), Decimal('6.6'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('36.40'), Decimal('0.00'), Decimal('27.20'), Decimal('0.00'), Decimal('38.20'), Decimal('6'), Decimal('7'), Decimal('6'), 'NE', Decimal('8.0'), 'NE', Decimal('14.0'), 'NE', Decimal('4.0'), Decimal('219014'), Decimal('219400'), Decimal('219712'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1978'), Decimal('2'), Decimal('32'), Decimal('12.6'), Decimal('7.4'), Decimal('8.0'), Decimal('10.4'), Decimal('9.0'), Decimal('7.3'), Decimal('9.9'), Decimal('8.6'), Decimal('37.3'), Decimal('1.4'), Decimal('22.5'), Decimal('650.80'), Decimal('0.00'), Decimal('28.00'), Decimal('0.00'), Decimal('426.20'), Decimal('0.00'), Decimal('8'), Decimal('8'), Decimal('8'), 'C', Decimal('0.0'), 'C', Decimal('0.0'), 'C', Decimal('0.0'), Decimal('241113'), Decimal('241287'), Decimal('241458'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1978'), Decimal('3'), Decimal('32'), Decimal('15.2'), Decimal('6.4'), Decimal('7.9'), Decimal('14.3'), Decimal('8.5'), Decimal('7.8'), Decimal('10.3'), Decimal('8.1'), Decimal('1.8'), Decimal('0.0'), Decimal('0.0'), Decimal('24.40'), Decimal('0.00'), Decimal('0.00'), Decimal('11.80'), Decimal('0.00'), Decimal('55.00'), Decimal('99'), Decimal('6'), Decimal('6'), 'C', Decimal('0.0'), 'S', Decimal('2.0'), 'SW', Decimal('2.0'), Decimal('262064'), Decimal('262256'), Decimal('262585'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1978'), Decimal('4'), Decimal('32'), Decimal('14.6'), Decimal('6.8'), Decimal('7.8'), Decimal('13.0'), Decimal('9.8'), Decimal('7.0'), Decimal('10.2'), Decimal('8.8'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('30.00'), Decimal('0.00'), Decimal('22.00'), Decimal('0.00'), Decimal('96.00'), Decimal('6'), Decimal('8'), Decimal('8'), 'C', Decimal('0.0'), 'E', Decimal('6.0'), 'E', Decimal('2.0'), Decimal('280613'), Decimal('280779'), Decimal('280912'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1978'), Decimal('5'), Decimal('32'), Decimal('14.1'), Decimal('3.8'), Decimal('6.2'), Decimal('14.2'), Decimal('9.4'), Decimal('4.8'), Decimal('9.7'), Decimal('8.4'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('53.60'), Decimal('0.00'), Decimal('31.80'), Decimal('0.00'), Decimal('23.60'), Decimal('6'), Decimal('5'), Decimal('8'), 'NW', Decimal('2.0'), 'W', Decimal('4.0'), 'NE', Decimal('2.0'), Decimal('305345'), Decimal('305500'), Decimal('305714'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1978'), Decimal('6'), Decimal('32'), Decimal('14.0'), Decimal('4.9'), Decimal('6.8'), Decimal('13.0'), Decimal('8.4'), Decimal('5.8'), Decimal('9.4'), Decimal('6.8'), Decimal('1.3'), Decimal('0.0'), Decimal('0.0'), Decimal('26.00'), Decimal('0.00'), Decimal('0.00'), Decimal('33.60'), Decimal('0.00'), Decimal('30.00'), Decimal('4'), Decimal('7'), Decimal('8'), 'NE', Decimal('2.0'), 'E', Decimal('7.0'), 'NE', Decimal('4.0'), Decimal('326985'), Decimal('327185'), Decimal('327376'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1978'), Decimal('7'), Decimal('32'), Decimal('13.8'), Decimal('4.8'), Decimal('5.2'), Decimal('12.2'), Decimal('8.4'), Decimal('4.8'), Decimal('8.4'), Decimal('16.4'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('32.60'), Decimal('0.00'), Decimal('27.20'), Decimal('0.00'), Decimal('26.20'), Decimal('1'), Decimal('99'), Decimal('7'), 'C', Decimal('0.0'), 'E', Decimal('7.0'), 'E', Decimal('6.0'), Decimal('352864'), Decimal('353105'), Decimal('353303'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1978'), Decimal('8'), Decimal('32'), Decimal('15.4'), Decimal('6.2'), Decimal('8.0'), Decimal('13.4'), Decimal('9.8'), Decimal('7.0'), Decimal('9.0'), Decimal('7.2'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('32.60'), Decimal('0.00'), Decimal('27.20'), Decimal('0.00'), Decimal('30.80'), Decimal('8'), Decimal('8'), Decimal('8'), 'NE', Decimal('6.0'), 'NE', Decimal('8.0'), 'E', Decimal('2.0'), Decimal('384677'), Decimal('384981'), Decimal('385190'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1978'), Decimal('9'), Decimal('32'), Decimal('12.0'), Decimal('6.8'), Decimal('7.4'), Decimal('10.0'), Decimal('9.0'), Decimal('7.2'), Decimal('9.4'), Decimal('7.6'), Decimal('0.6'), Decimal('4.7'), Decimal('2.8'), Decimal('0.00'), Decimal('28.00'), Decimal('82.40'), Decimal('0.00'), Decimal('56.00'), Decimal('0.00'), Decimal('8'), Decimal('8'), Decimal('8'), 'E', Decimal('2.0'), 'NE', Decimal('4.0'), 'NE', Decimal('2.0'), Decimal('409917'), Decimal('410111'), Decimal('410281'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1978'), Decimal('10'), Decimal('32'), Decimal('17.0'), Decimal('5.2'), Decimal('7.6'), Decimal('14.0'), Decimal('9.0'), Decimal('6.0'), Decimal('11.9'), Decimal('9.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('19.00'), Decimal('0.00'), Decimal('43.60'), Decimal('0.00'), Decimal('40.00'), Decimal('3'), Decimal('4'), Decimal('6'), 'E', Decimal('3.0'), 'E', Decimal('6.0'), 'C', Decimal('0.0'), Decimal('436650'), Decimal('437078'), Decimal('437580'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1978'), Decimal('11'), Decimal('32'), Decimal('15.8'), Decimal('6.1'), Decimal('7.8'), Decimal('13.1'), Decimal('9.2'), Decimal('7.6'), Decimal('9.7'), Decimal('9.1'), Decimal('0.0'), Decimal('0.0'), Decimal('1.2'), Decimal('0.00'), Decimal('12.20'), Decimal('0.00'), Decimal('16.40'), Decimal('0.00'), Decimal('10.40'), Decimal('99'), Decimal('5'), Decimal('99'), 'S', Decimal('1.0'), 'SW', Decimal('4.0'), 'SW', Decimal('3.0'), Decimal('459937'), Decimal('460173'), Decimal('460516'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1978'), Decimal('12'), Decimal('32'), Decimal('15.4'), Decimal('7.0'), Decimal('12.0'), Decimal('14.6'), Decimal('9.7'), Decimal('10.4'), Decimal('10.9'), Decimal('8.8'), Decimal('0.1'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('12.80'), Decimal('0.00'), Decimal('30.00'), Decimal('0.00'), Decimal('40.00'), Decimal('7'), Decimal('5'), Decimal('3'), 'NE', Decimal('4.0'), 'E', Decimal('2.0'), 'E', Decimal('2.0'), Decimal('482705'), Decimal('482980'), Decimal('483219'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1979'), Decimal('1'), Decimal('32'), Decimal('15.3'), Decimal('5.4'), Decimal('7.2'), Decimal('13.5'), Decimal('10.1'), Decimal('6.2'), Decimal('10.2'), Decimal('9.4'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('20.00'), Decimal('0.00'), Decimal('13.60'), Decimal('0.00'), Decimal('40.80'), Decimal('1'), Decimal('5'), Decimal('4'), 'C', Decimal('0.0'), 'E', Decimal('5.0'), 'C', Decimal('0.0'), Decimal('505145'), Decimal('505342'), Decimal('505530'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1979'), Decimal('2'), Decimal('32'), Decimal('17.8'), Decimal('4.9'), Decimal('9.9'), Decimal('13.3'), Decimal('8.2'), Decimal('7.4'), Decimal('12.1'), Decimal('7.9'), Decimal('23.0'), Decimal('0.0'), Decimal('56.3'), Decimal('340.00'), Decimal('0.00'), Decimal('0.00'), Decimal('5.80'), Decimal('360.00'), Decimal('0.00'), Decimal('7'), Decimal('7'), Decimal('8'), 'C', Decimal('0.0'), 'E', Decimal('5.0'), 'C', Decimal('0.0'), Decimal('527635'), Decimal('527839'), Decimal('527903'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1979'), Decimal('3'), Decimal('32'), Decimal('14.2'), Decimal('6.0'), Decimal('7.6'), Decimal('10.2'), Decimal('11.3'), Decimal('6.8'), Decimal('8.9'), Decimal('10.8'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('10.80'), Decimal('0.00'), Decimal('40.00'), Decimal('0.00'), Decimal('20.00'), Decimal('3'), Decimal('8'), Decimal('5'), 'C', Decimal('0.0'), 'E', Decimal('5.0'), 'NW', Decimal('3.0'), Decimal('548452'), Decimal('548654'), Decimal('548764'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1979'), Decimal('4'), Decimal('32'), Decimal('16.3'), Decimal('6.1'), Decimal('8.5'), Decimal('13.2'), Decimal('8.3'), Decimal('7.7'), Decimal('11.4'), Decimal('7.9'), Decimal('0.1'), Decimal('0.0'), Decimal('5.6'), Decimal('0.00'), Decimal('16.80'), Decimal('0.00'), Decimal('10.80'), Decimal('60.00'), Decimal('0.00'), Decimal('4'), Decimal('7'), Decimal('7'), 'C', Decimal('0.0'), 'SE', Decimal('1.0'), 'C', Decimal('0.0'), Decimal('569694'), Decimal('569783'), Decimal('570019'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1979'), Decimal('5'), Decimal('32'), Decimal('13.5'), Decimal('7.0'), Decimal('7.5'), Decimal('12.3'), Decimal('9.3'), Decimal('7.4'), Decimal('10.0'), Decimal('9.2'), Decimal('0.1'), Decimal('0.0'), Decimal('7.3'), Decimal('0.00'), Decimal('15.00'), Decimal('0.00'), Decimal('20.00'), Decimal('140.00'), Decimal('0.00'), Decimal('9'), Decimal('8'), Decimal('8'), 'C', Decimal('0.0'), 'E', Decimal('3.0'), 'SE', Decimal('2.0'), Decimal('587549'), Decimal('587692'), Decimal('587799'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1979'), Decimal('6'), Decimal('32'), Decimal('15.4'), Decimal('99.9'), Decimal('6.8'), Decimal('14.6'), Decimal('9.5'), Decimal('6.4'), Decimal('10.3'), Decimal('6.5'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('20.00'), Decimal('0.00'), Decimal('40.00'), Decimal('0.00'), Decimal('20.00'), Decimal('4'), Decimal('7'), Decimal('9'), 'NE', Decimal('2.0'), 'W', Decimal('3.0'), 'NE', Decimal('15.0'), Decimal('608399'), Decimal('608623'), Decimal('608936'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1979'), Decimal('7'), Decimal('32'), Decimal('15.0'), Decimal('5.4'), Decimal('7.5'), Decimal('13.6'), Decimal('10.2'), Decimal('7.2'), Decimal('9.9'), Decimal('8.3'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('12.80'), Decimal('0.00'), Decimal('26.00'), Decimal('0.00'), Decimal('20.00'), Decimal('8'), Decimal('7'), Decimal('7'), 'NE', Decimal('2.0'), 'E', Decimal('5.0'), 'NE', Decimal('2.0'), Decimal('632926'), Decimal('633114'), Decimal('633273'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
"('M0001', Decimal('1979'), Decimal('8'), Decimal('32'), Decimal('16.3'), Decimal('3.7'), Decimal('5.0'), Decimal('14.8'), Decimal('7.8'), Decimal('2.0'), Decimal('9.3'), Decimal('6.3'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.00'), Decimal('40.00'), Decimal('0.00'), Decimal('20.00'), Decimal('0.00'), Decimal('55.40'), Decimal('4'), Decimal('6'), Decimal('8'), 'W', Decimal('1.0'), 'NW', Decimal('2.0'), 'NW', Decimal('1.0'), Decimal('659425'), Decimal('659704'), Decimal('659974'), Decimal('1'), Decimal('1'), '1', Decimal('1'))"
